Chidamber-Kemerer metrics,Thu, 6 Nov 2025 21:43:55 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
ApplicationTests,59,1,5,0,201,111
GenericModTest,5,1,2,1,19,3
ModTestAllure,12,2,1,0,14,1
mindustry.ClientLauncher,30,2,2,2,98,40
mindustry.Vars,534,1,1,0,104,34
mindustry.ai.Astar,13,1,1,0,27,14
mindustry.ai.Astar.DistanceHeuristic,n/a,n/a,n/a,n/a,1,n/a
mindustry.ai.Astar.TileHeuristic,n/a,n/a,n/a,n/a,2,n/a
mindustry.ai.BaseBuilderAI,37,1,1,0,65,43
mindustry.ai.BaseRegistry,23,1,1,0,28,17
mindustry.ai.BaseRegistry.BasePart,7,1,1,0,3,2
mindustry.ai.BlockIndexer,64,1,1,0,107,130
mindustry.ai.BlockIndexer.TurretQuadtree,3,2,2,0,6,3
mindustry.ai.ControlPathfinder,34,1,1,0,195,274
mindustry.ai.ControlPathfinder.Cluster,1,1,0,0,0,0
mindustry.ai.ControlPathfinder.FieldCache,6,1,0,0,4,1
mindustry.ai.ControlPathfinder.FieldIndexStruct,0,1,0,0,0,0
mindustry.ai.ControlPathfinder.IntraEdgeStruct,0,1,0,0,0,0
mindustry.ai.ControlPathfinder.NodeIndexStruct,0,1,0,0,0,0
mindustry.ai.ControlPathfinder.PathRequest,7,1,0,0,5,1
mindustry.ai.ItemUnitStance,7,4,3,0,14,6
mindustry.ai.PathfindQueue,3,1,1,0,12,24
mindustry.ai.Pathfinder,37,1,1,0,95,98
mindustry.ai.Pathfinder.EnemyCoreField,14,2,1,0,12,11
mindustry.ai.Pathfinder.Flowfield,10,1,4,2,23,12
mindustry.ai.Pathfinder.PathCost,n/a,n/a,n/a,n/a,1,n/a
mindustry.ai.Pathfinder.PathTileStruct,0,1,0,0,0,0
mindustry.ai.Pathfinder.PositionTarget,3,2,1,0,7,2
mindustry.ai.RtsAI,29,1,1,0,94,57
mindustry.ai.UnitCommand,25,3,4,8,13,9
mindustry.ai.UnitGroup,14,1,1,0,36,20
mindustry.ai.UnitStance,17,3,5,1,19,12
mindustry.ai.WaveSpawner,49,1,3,0,75,48
mindustry.ai.WaveSpawner.SpawnConsumer,n/a,n/a,n/a,n/a,1,n/a
mindustry.ai.types.AssemblerAI,7,2,1,0,8,4
mindustry.ai.types.BoostAI,5,2,1,0,8,3
mindustry.ai.types.BuilderAI,34,2,1,0,59,47
mindustry.ai.types.CargoAI,17,2,1,0,34,29
mindustry.ai.types.CommandAI,53,2,2,0,123,124
mindustry.ai.types.DefenderAI,13,2,1,0,17,9
mindustry.ai.types.FlyingAI,22,2,1,1,25,26
mindustry.ai.types.FlyingFollowAI,14,3,2,0,23,14
mindustry.ai.types.GroundAI,21,2,1,1,13,15
mindustry.ai.types.HugAI,21,2,1,0,21,13
mindustry.ai.types.LogicAI,29,2,6,0,37,23
mindustry.ai.types.MinerAI,24,2,1,0,28,20
mindustry.ai.types.MissileAI,16,2,2,0,21,8
mindustry.ai.types.PrebuildAI,32,2,1,0,61,36
mindustry.ai.types.RepairAI,12,2,1,0,13,17
mindustry.ai.types.SuicideAI,26,3,1,0,28,17
mindustry.annotations.Annotations,0,1,0,0,0,0
mindustry.annotations.Annotations.BaseComponent,n/a,n/a,n/a,n/a,0,n/a
