Martin packaging metrics,Fri, 7 Nov 2025 16:03:55 WET
Package,A,Ca,Ce,D,I
,0.00,0,"1,251",0.00,1.00
mindustry,0.50,"7,313",173,0.48,0.02
mindustry.ai,0.17,448,"1,451",0.06,0.77
mindustry.ai.types,0.00,278,"1,237",0.18,0.82
mindustry.annotations,0.86,657,13,0.12,0.08
mindustry.annotations.entity,0.00,0,513,0.00,1.00
mindustry.annotations.impl,0.00,0,53,0.00,1.00
mindustry.annotations.misc,0.00,0,74,0.00,1.00
mindustry.annotations.remote,0.00,0,149,0.00,1.00
mindustry.annotations.util,0.00,538,21,0.96,0.04
mindustry.async,0.14,30,38,0.30,0.57
mindustry.audio,0.00,20,55,0.27,0.73
mindustry.content,0.00,"3,129","15,786",0.17,0.84
mindustry.core,0.23,"3,909","2,946",0.34,0.43
mindustry.ctype,0.60,"2,195",83,0.36,0.04
mindustry.desktop,0.00,0,181,0.00,1.00
mindustry.desktop.steam,0.00,84,259,0.24,0.75
mindustry.editor,0.09,28,"2,456",0.07,0.99
mindustry.entities,0.26,"3,876",523,0.62,0.25
mindustry.entities.abilities,0.06,154,237,0.33,0.61
mindustry.entities.bullet,0.00,"2,573",483,0.84,0.16
mindustry.entities.comp,0.96,0,"2,929",0.96,1.00
mindustry.entities.effect,0.00,191,128,0.60,0.40
mindustry.entities.part,0.27,973,30,0.70,0.04
mindustry.entities.pattern,0.11,96,7,0.82,0.06
mindustry.entities.units,0.20,"2,337",118,0.75,0.05
mindustry.game,0.09,"5,044","1,557",0.68,0.27
mindustry.graphics,0.00,"3,402","1,395",0.71,0.28
mindustry.graphics.g3d,0.22,347,159,0.46,0.40
mindustry.input,0.21,311,"2,333",0.10,0.88
mindustry.io,0.41,413,"1,074",0.13,0.73
mindustry.io.versions,0.07,14,122,0.04,0.90
mindustry.ios,0.00,0,42,0.00,1.00
mindustry.logic,0.10,627,"1,291",0.22,0.45
mindustry.maps,0.10,304,684,0.21,0.69
mindustry.maps.filters,0.12,108,507,0.05,0.83
mindustry.maps.generators,0.50,437,835,0.16,0.66
mindustry.maps.planet,0.00,27,"1,777",0.01,0.99
mindustry.mod,0.25,288,"1,216",0.06,0.91
mindustry.net,0.15,"1,114",364,0.60,0.35
mindustry.server,0.00,0,702,0.00,1.00
mindustry.service,0.00,18,569,0.03,0.97
mindustry.tools,0.00,0,379,0.00,1.00
mindustry.type,0.15,"7,906","1,656",0.68,0.17
mindustry.type.ammo,0.00,42,26,0.62,0.38
mindustry.type.unit,0.00,5,90,0.05,0.95
mindustry.type.weapons,0.00,36,202,0.15,0.85
mindustry.type.weather,0.00,58,18,0.76,0.24
mindustry.ui,0.16,"1,185",199,0.70,0.14
mindustry.ui.dialogs,0.05,248,"3,870",0.01,0.94
mindustry.ui.fragments,0.06,161,"1,790",0.02,0.90
mindustry.ui.layout,0.14,83,0,0.86,0.00
mindustry.world,0.06,"9,758",980,0.85,0.09
mindustry.world.blocks,0.46,349,388,0.01,0.44
mindustry.world.blocks.campaign,0.14,13,666,0.12,0.93
mindustry.world.blocks.defense,0.00,91,881,0.09,0.89
mindustry.world.blocks.defense.turrets,0.04,503,681,0.39,0.48
mindustry.world.blocks.distribution,0.02,137,"1,368",0.07,0.90
mindustry.world.blocks.environment,0.00,648,802,0.45,0.56
mindustry.world.blocks.heat,0.33,35,57,0.05,0.62
mindustry.world.blocks.legacy,0.00,16,21,0.43,0.62
mindustry.world.blocks.liquid,0.00,39,174,0.18,0.81
mindustry.world.blocks.logic,0.00,113,511,0.18,0.81
mindustry.world.blocks.payloads,0.11,298,811,0.16,0.68
mindustry.world.blocks.power,0.00,220,914,0.19,0.79
mindustry.world.blocks.production,0.00,253,"1,020",0.20,0.78
mindustry.world.blocks.sandbox,0.00,17,148,0.10,0.90
mindustry.world.blocks.storage,0.00,223,557,0.29,0.65
mindustry.world.blocks.units,0.00,159,"1,204",0.12,0.89
mindustry.world.consumers,0.08,349,389,0.39,0.53
mindustry.world.draw,0.03,390,336,0.51,0.46
mindustry.world.meta,0.08,"1,944",434,0.73,0.18
mindustry.world.modules,0.62,142,118,0.08,0.46
power,0.00,0,193,0.00,1.00

